Importing NLTK
Done!
Getting CMUDict
Done!
Getting tagged words from Treebank corpus
         4627650 function calls (4620864 primitive calls) in 6.715 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      113    0.000    0.000    0.028    0.000 util.py:202(_open)
       31    0.000    0.000    0.002    0.000 grammar.py:1168(_read_production)
      397    0.000    0.000    0.000    0.000 {built-in method is_frozen}
     1417    0.000    0.000    0.000    0.000 {built-in method get_ident}
     1630    0.000    0.000    0.000    0.000 {built-in method acquire_lock}
       39    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1979(__init__)
      216    0.000    0.000    0.019    0.000 genericpath.py:16(exists)
        3    0.000    0.000    0.156    0.052 __init__.py:60(<module>)
      397    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1336(find_spec)
      203    0.000    0.000    0.010    0.000 ntpath.py:542(abspath)
      168    0.000    0.000    0.001    0.000 sre_parse.py:265(_class_escape)
      362    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:728(__init__)
    19/18    0.000    0.000    0.032    0.002 <frozen importlib._bootstrap>:1708(load_module)
      328    0.000    0.000    0.001    0.000 compat.py:509(_was_fixed)
        3    0.000    0.000    0.034    0.011 api.py:178(<listcomp>)
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2090(<setcomp>)
      413    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1266(find_spec)
      113    0.000    0.000    0.002    0.000 {built-in method lookup}
      201    0.000    0.000    0.013    0.000 data.py:310(file_size)
      230    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
       15    0.000    0.000    0.002    0.000 abc.py:132(__new__)
        5    0.000    0.000    0.001    0.000 enum.py:88(__new__)
        2    0.000    0.000    0.001    0.001 grammar.py:480(_calculate_leftcorners)
      397    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1000(__init__)
      312    0.000    0.000    0.000    0.000 sre_compile.py:545(isstring)
      156    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
      421    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:288(cb)
        1    0.000    0.000    0.004    0.004 numerictypes.py:82(<module>)
        1    0.000    0.000    0.014    0.014 numeric.py:1(<module>)
        1    0.000    0.000    0.000    0.000 api.py:23(CorpusReader)
